TRANSACTION_DATE;SETTLEMENT_DATE;MONEY_RELEASE_DATE;SOURCE_ID;PAYMENT_METHOD_TYPE;TRANSACTION_TYPE;TRANSACTION_AMOUNT;BUSINESS_UNIT;SUB_UNIT;PAYMENT_METHOD;TAX_DETAIL;STORE_ID;PAY_BANK_TRANSFER_ID;USER_ID;TRANSACTION_CURRENCY
2026-02-01T21:50:05.000-04:00;2026-02-06T00:06:42.000-04:00;2026-02-06T00:06:42.000-04:00;143761021857;available_money;SETTLEMENT;-3570.00;;;available_money;;;;75592789;ARS
2026-02-05T23:47:59.000-04:00;2026-02-05T23:47:59.000-04:00;;1739513983623;;SETTLEMENT;631.38;;;;;;;75592789;ARS
2026-02-01T21:03:05.000-04:00;2026-02-05T23:28:20.000-04:00;2026-02-05T23:28:20.000-04:00;143756986355;available_money;SETTLEMENT;-4421.00;;;available_money;;;;75592789;ARS
2026-02-05T11:54:31.000-04:00;2026-02-05T11:54:32.000-04:00;2026-02-05T11:54:31.000-04:00;144251320329;available_money;SETTLEMENT;-645.00;Mercado Pago;QR;available_money;;;;75592789;ARS
2026-02-05T11:46:13.000-04:00;2026-02-05T11:46:14.000-04:00;2026-02-23T10:54:51.000-04:00;144250023363;available_money;SETTLEMENT;-2940.00;Mercado Pago;Checkout Pro;available_money;;;;75592789;ARS
2026-02-02T19:39:54.000-04:00;2026-02-05T02:50:53.000-04:00;2026-02-05T02:50:53.000-04:00;143880696573;available_money;SETTLEMENT;-4446.70;;;available_money;;;;75592789;ARS
2026-02-02T19:40:31.000-04:00;2026-02-05T02:08:30.000-04:00;2026-02-05T02:08:30.000-04:00;144561927160;available_money;SETTLEMENT;-4970.17;;;available_money;;;;75592789;ARS
2026-02-02T16:08:06.000-04:00;2026-02-05T01:16:59.000-04:00;2026-02-05T01:16:58.000-04:00;144530775486;available_money;SETTLEMENT;-4326.52;;;available_money;iibb_caba;;;75592789;ARS
2026-02-04T23:59:33.000-04:00;2026-02-04T23:59:33.000-04:00;;1739453487679;;SETTLEMENT;652.92;;;;;;;75592789;ARS
2026-02-03T08:00:23.000-04:00;2026-02-04T17:44:32.000-04:00;2026-02-04T17:44:32.000-04:00;143932267607;available_money;SETTLEMENT;-4760.00;;;available_money;;;;75592789;ARS
2026-02-01T17:50:20.000-04:00;2026-02-04T03:19:19.000-04:00;2026-02-04T03:19:19.000-04:00;144416255076;available_money;SETTLEMENT;-750.00;;;available_money;;;;75592789;ARS
2026-01-30T15:09:41.000-04:00;2026-02-04T00:47:05.000-04:00;2026-02-04T00:47:05.000-04:00;144145852888;available_money;SETTLEMENT;-2565.00;;;available_money;;;;75592789;ARS
2026-02-04T00:05:15.000-04:00;2026-02-04T00:05:15.000-04:00;;1739392543419;;SETTLEMENT;4674.52;;;;;;;75592789;ARS
2026-01-30T16:25:43.000-04:00;2026-02-03T23:04:07.000-04:00;2026-02-03T23:04:07.000-04:00;143477454875;available_money;SETTLEMENT;-2745.00;;;available_money;;;;75592789;ARS
2026-02-01T17:05:42.000-04:00;2026-02-03T21:04:05.000-04:00;2026-02-03T21:04:05.000-04:00;143732113847;available_money;SETTLEMENT;-118132.00;;;available_money;;;;75592789;ARS
2026-02-01T17:20:05.000-04:00;2026-02-03T20:41:09.000-04:00;2026-02-03T20:41:09.000-04:00;144413173142;available_money;SETTLEMENT;-1499.00;;;available_money;;;;75592789;ARS
2026-02-03T13:03:41.000-04:00;2026-02-03T13:03:41.000-04:00;2026-02-03T13:03:41.000-04:00;143972762617;available_money;SETTLEMENT;-645.00;Mercado Pago;QR;available_money;;;;75592789;ARS
2026-02-03T11:09:25.000-04:00;2026-02-03T11:09:26.000-04:00;2026-02-21T10:10:36.000-04:00;143956599527;available_money;SETTLEMENT;-3585.00;Mercado Pago;Checkout Pro;available_money;;;;75592789;ARS
2026-02-01T10:40:45.000-04:00;2026-02-03T00:37:17.000-04:00;2026-02-03T00:37:17.000-04:00;143693856285;available_money;SETTLEMENT;-43395.52;;;available_money;;;;75592789;ARS
2026-02-02T23:47:05.000-04:00;2026-02-02T23:47:05.000-04:00;;1739328768638;;SETTLEMENT;4701.88;;;;;;;75592789;ARS
2026-02-02T18:23:54.000-04:00;2026-02-02T18:24:06.000-04:00;2026-02-11T16:36:36.000-04:00;143869721865;available_money;SETTLEMENT;-19652.00;Mercado Libre;;available_money;;;;75592789;ARS
2026-02-02T07:39:24.000-04:00;2026-02-02T07:39:25.000-04:00;2026-02-02T07:39:25.000-04:00;143788843125;bank_transfer;SETTLEMENT;3500000.00;;;cvu;;;121817393736;75592789;ARS
2026-02-02T00:24:48.000-04:00;2026-02-02T00:24:48.000-04:00;;1739271884119;;SETTLEMENT;6748.45;;;;;;;75592789;ARS
2026-01-27T07:51:41.000-04:00;2026-02-01T19:54:45.000-04:00;2026-02-01T19:54:45.000-04:00;143008998015;available_money;SETTLEMENT;-3892.00;;;available_money;;;;75592789;ARS
2026-02-01T11:36:11.000-04:00;2026-02-01T11:36:11.000-04:00;2026-02-01T11:36:11.000-04:00;144380229442;available_money;SETTLEMENT;-149502.00;;;available_money;;;;75592789;ARS
2026-02-01T11:35:26.000-04:00;2026-02-01T11:35:26.000-04:00;2026-02-01T11:35:26.000-04:00;144380103796;available_money;SETTLEMENT;-17300.00;;;available_money;;;;75592789;ARS
2026-01-31T11:24:13.000-04:00;2026-01-31T11:24:14.000-04:00;2026-01-31T11:24:14.000-04:00;143574714963;available_money;SETTLEMENT;-220000.00;;;available_money;;;;75592789;ARS
2026-01-31T00:38:20.000-04:00;2026-01-31T00:38:21.000-04:00;2026-01-31T00:38:21.000-04:00;144215467090;available_money;SETTLEMENT;-985.00;Mercado Pago;QR;available_money;;;;75592789;ARS
2026-01-31T00:27:48.000-04:00;2026-01-31T00:27:49.000-04:00;2026-01-31T00:27:49.000-04:00;143536071863;available_money;SETTLEMENT;-830.19;Mercado Pago;QR;available_money;;;;75592789;ARS
2026-01-29T07:46:19.000-04:00;2026-01-31T00:01:26.000-04:00;2026-01-31T00:01:26.000-04:00;143273276115;available_money;SETTLEMENT;-6282.00;;;available_money;;;;75592789;ARS
2026-01-30T11:05:11.000-04:00;2026-01-30T11:05:37.000-04:00;2026-01-30T11:05:37.000-04:00;144113069206;available_money;SETTLEMENT;-14303.02;;;available_money;;;;75592789;ARS
2026-01-27T18:26:30.000-04:00;2026-01-30T00:16:08.000-04:00;2026-01-30T00:16:08.000-04:00;143758494900;available_money;SETTLEMENT;-750.00;;;available_money;;;;75592789;ARS
2026-01-29T23:55:18.000-04:00;2026-01-29T23:55:18.000-04:00;2026-01-29T23:55:18.000-04:00;144059496940;available_money;SETTLEMENT;-4600.00;;;available_money;;;;75592789;ARS
